feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
static_replay,500.0,0.12,1.0,0.25,389,254,7.95,7.9522231649569175,0.09555212823105894,0.07266998673466857,0.061333580501725965
static_replay,500.0,0.12,1.0,0.4,389,254,7.95,7.9522231649569175,0.09555212823105894,0.07266998673466857,0.061333580501725965
static_replay,100.0,0.1,2.0,0.08,389,254,7.95,7.952232069897169,0.09550597746283658,0.07270122209782214,0.061348743375710856
static_replay,200.0,0.1,1.0,0.08,389,254,7.95,7.952236261427981,0.09555245728591827,0.07268236350639828,0.061321238626981765
no_decomp,1000.0,0.15,1.0,0.08,389,254,7.95,7.95228285669034,0.09547625993506388,0.0726597290793179,0.06142136529015255
no_decomp,1000.0,0.15,1.0,0.15,389,254,7.95,7.95228285669034,0.09547625993506388,0.0726597290793179,0.06142136529015255
no_decomp,1000.0,0.15,1.0,0.25,389,254,7.95,7.95228285669034,0.09547625993506388,0.0726597290793179,0.06142136529015255
no_decomp,1000.0,0.15,1.0,0.4,389,254,7.95,7.95228285669034,0.09547625993506388,0.0726597290793179,0.06142136529015255
static_replay,300.0,0.1,0.0,0.15,389,254,7.95,7.952302687896107,0.09576506718139254,0.0726830259775651,0.061109812255847544
static_replay,300.0,0.1,0.0,0.25,389,254,7.95,7.952302687896107,0.09576506718139254,0.0726830259775651,0.061109812255847544
static_replay,300.0,0.1,0.0,0.4,389,254,7.95,7.952302687896107,0.09576506718139254,0.0726830259775651,0.061109812255847544
static_replay,1000.0,0.15,2.0,0.08,389,254,7.95,7.952321327353884,0.09552484343728579,0.07266285884924212,0.06137072111971477
static_replay,1000.0,0.15,2.0,0.15,389,254,7.95,7.952321327353884,0.09552484343728579,0.07266285884924212,0.06137072111971477
static_replay,1000.0,0.15,2.0,0.25,389,254,7.95,7.952321327353884,0.09552484343728579,0.07266285884924212,0.06137072111971477
static_replay,1000.0,0.15,2.0,0.4,389,254,7.95,7.952321327353884,0.09552484343728579,0.07266285884924212,0.06137072111971477
all,2000.0,0.2,0.0,0.15,389,254,7.95,7.952339462802316,0.09567113541939624,0.07269157270448533,0.061196219267269564
all,2000.0,0.2,0.0,0.25,389,254,7.95,7.952339462802316,0.09567113541939624,0.07269157270448533,0.061196219267269564
all,2000.0,0.2,0.0,0.4,389,254,7.95,7.952339462802316,0.09567113541939624,0.07269157270448533,0.061196219267269564
static_replay,100.0,0.15,2.0,0.08,389,254,7.95,7.952398253610271,0.09543162714033658,0.07274207685992046,0.06138685718944542
all,2000.0,0.1,0.0,0.08,389,254,7.95,7.952412938172637,0.09568688242923239,0.07266450858766614,0.061209578257152245
static_replay,200.0,0.12,2.0,0.15,389,254,7.95,7.952418798953298,0.0955167751380241,0.07269417393588366,0.06135018307136591
static_replay,200.0,0.12,2.0,0.25,389,254,7.95,7.952418798953298,0.0955167751380241,0.07269417393588366,0.06135018307136591
static_replay,200.0,0.12,2.0,0.4,389,254,7.95,7.952418798953298,0.0955167751380241,0.07269417393588366,0.06135018307136591
static_replay,200.0,0.06,0.0,0.08,389,254,7.95,7.952443182854085,0.09573799177177615,0.07266635980735718,0.061157458195181764
no_decomp,1000.0,0.15,0.0,0.08,389,254,7.95,7.952448235638698,0.09561764459256772,0.0726444174719568,0.06129988812674707
no_decomp,1000.0,0.15,0.0,0.15,389,254,7.95,7.952448235638698,0.09561764459256772,0.0726444174719568,0.06129988812674707
no_decomp,1000.0,0.15,0.0,0.25,389,254,7.95,7.952448235638698,0.09561764459256772,0.0726444174719568,0.06129988812674707
no_decomp,1000.0,0.15,0.0,0.4,389,254,7.95,7.952448235638698,0.09561764459256772,0.0726444174719568,0.06129988812674707
