feature_source,feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,half_life_hours,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
standard,all,500.0,0.12,0.0,0.4,168.0,389,254,7.94,7.936243616912408,0.09536267299332496,0.07256938540669383,0.06117953141477357
standard,all,1500.0,0.15,0.0,0.08,72.0,389,254,7.94,7.936419436295505,0.09494262538107952,0.07261504723175682,0.061558803954561196
standard,all,1500.0,0.12,0.0,0.15,72.0,389,254,7.94,7.936440102134701,0.09505544470674794,0.0726183041237333,0.06144330212609802
standard,all,1500.0,0.12,0.0,0.25,72.0,389,254,7.94,7.936440102134701,0.09505544470674794,0.0726183041237333,0.06144330212609802
standard,all,1500.0,0.12,0.0,0.4,72.0,389,254,7.94,7.936440102134701,0.09505544470674794,0.0726183041237333,0.06144330212609802
standard,all,1000.0,0.25,0.0,0.15,168.0,389,254,7.94,7.936464776304897,0.09500376734633845,0.07258432897453855,0.061529640432844
standard,all,1000.0,0.2,0.0,0.25,240.0,389,254,7.94,7.9364772191522714,0.09525394658475016,0.0725526549235701,0.061311481083482895
standard,all,1000.0,0.2,0.0,0.4,240.0,389,254,7.94,7.9364772191522714,0.09525394658475016,0.0725526549235701,0.061311481083482895
standard,all,1500.0,0.18,0.0,0.15,240.0,389,254,7.94,7.936555800574463,0.09528442566176092,0.07254968475977762,0.06128615627138438
standard,all,1500.0,0.18,0.0,0.25,240.0,389,254,7.94,7.936555800574463,0.09528442566176092,0.07254968475977762,0.06128615627138438
standard,all,1500.0,0.18,0.0,0.4,240.0,389,254,7.94,7.936555800574463,0.09528442566176092,0.07254968475977762,0.06128615627138438
standard,all,1500.0,0.2,0.0,0.15,240.0,389,254,7.94,7.93661892853994,0.0952493521282442,0.07254820511774653,0.06132446403174055
