at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918327655672752
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.91833597770466
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918350721688183
hazard_targetwise,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.918376386588033
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.918487443682709
targetwise,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.91853016864732
base_0.25+targetwise_0.75,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.918533293483132
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise,7.92,7.918540465444468
hazard_targetwise,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918545463698812
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.9186012372536085
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.9186020963497805
targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.91861374373346
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,7.92,7.918660885745266
base_0.25+targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.918706280834753
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.918706345419291
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918711343681317
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.918749070470565
base_0.25+targetwise_0.75,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918763945880181
hazard_targetwise,targetwise,targetwise,7.92,7.918769008729454
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise,7.92,7.918777533662236
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918812676992504
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918817739844064
