at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858287493854466
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858308507030154
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,hazard_targetwise,7.86,7.858321500145893
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.858358628252016
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.858420196076099
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise,7.86,7.858458263651591
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.858478403715585
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858493508766062
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,hazard_targetwise,7.86,7.858502286562863
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.80+targetwise_0.20,7.86,7.8585239960805575
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858539162346845
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.858605051240852
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise,7.86,7.858662728762211
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.858666619205579
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,7.86,7.858679880524266
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.858682868864397
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858697973943496
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858743627610831
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,hazard_targetwise,7.86,7.858748709879904
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise,7.86,7.858762016522847
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858775520287997
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.8587850556191885
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.858796533558743
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.858818389463673
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.858846655007423
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise,7.86,7.858867194260433
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.65+targetwise_0.35,temporal_targetwise_0.80+targetwise_0.20,7.86,7.858884346054995
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.858887334400788
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.8589024395085305
