rate_smoothing_weeks,publisher_smoothing,hour_smoothing,cpm_smoothing,session_power,hazard_blend_weight,selection_metric_percent,selection_metric_raw_percent
0.5,25.0,100.0,0.0,0.5,0.1,9.28,9.28271887929557
0.5,25.0,25.0,1000.0,0.5,0.1,9.3,9.302426279830712
0.5,25.0,25.0,0.0,0.5,0.1,9.3,9.302697595687182
1.5,25.0,100.0,1000.0,0.5,0.08,9.36,9.358741638457202
1.5,25.0,100.0,0.0,0.5,0.08,9.36,9.36018492683992
1.5,25.0,25.0,0.0,0.5,0.08,9.39,9.385254447494006
1.5,25.0,25.0,1000.0,0.5,0.08,9.39,9.388233392585699
0.5,25.0,100.0,1000.0,1.0,0.1,9.49,9.491686852894809
0.5,25.0,100.0,0.0,1.0,0.1,9.49,9.492575771552957
0.5,25.0,25.0,1000.0,1.0,0.1,9.51,9.514069383960177
0.5,100.0,100.0,1000.0,0.5,0.1,9.51,9.514152421640286
0.5,25.0,25.0,0.0,1.0,0.1,9.51,9.514823817749907
0.5,100.0,100.0,0.0,0.5,0.1,9.52,9.515536261260804
1.5,100.0,100.0,1000.0,0.5,0.08,9.52,9.523902538345608
1.5,100.0,100.0,0.0,0.5,0.08,9.53,9.526245125186561
1.5,25.0,100.0,1000.0,1.0,0.08,9.53,9.528233998941605
1.5,25.0,100.0,0.0,1.0,0.08,9.53,9.529559557608769
0.5,100.0,25.0,1000.0,0.5,0.1,9.55,9.550283015837667
0.5,100.0,25.0,0.0,0.5,0.1,9.55,9.551824313466595
1.5,100.0,25.0,0.0,0.5,0.08,9.55,9.55300122566467
1.5,25.0,25.0,1000.0,1.0,0.08,9.56,9.555456406264206
1.5,25.0,25.0,0.0,1.0,0.08,9.56,9.556237665004442
1.5,100.0,25.0,1000.0,0.5,0.08,9.56,9.557262313014125
1.5,100.0,100.0,0.0,1.0,0.08,9.69,9.685815423805755
1.5,100.0,100.0,1000.0,1.0,0.08,9.69,9.686849435960433
1.5,100.0,25.0,0.0,1.0,0.08,9.7,9.695348142753524
1.5,100.0,25.0,1000.0,1.0,0.08,9.7,9.696622032976588
3.0,25.0,100.0,1000.0,0.5,0.08,9.7,9.696966478094193
3.0,25.0,100.0,0.0,0.5,0.08,9.7,9.697781400184446
0.5,100.0,100.0,0.0,1.0,0.1,9.71,9.713369612615308
